id	prompt_tokens	target_tokens	nll	avg_nll	first_match	greedy_lcp	api_ref_tokens	api_target_tokens	api_target_mae	api_target_mean_delta	api_top_items	api_top_mapped	api_top_coverage	api_top1_count	api_top1_match	api_top1_rate	api_topn_ref	api_topn_hit	api_topn_recall	api_top_logprob_count	api_top_mae	api_top_mean_delta	api_pair_total	api_pair_agree	api_pair_rate
case_000	20	24	17.737502134	0.739062589	1	10	24	24	0.735610346	-0.735091197	480	480	1.000000000	24	20	0.833333333	480	311	0.647916667	480	3.027914976	2.421958585	4479	3492	0.779638312
case_001	20	24	7.549427166	0.314559465	1	16	24	24	0.212722276	-0.212673422	480	479	0.997916667	24	21	0.875000000	479	338	0.705636743	479	1.980584736	1.237801467	4480	3479	0.776562500
case_002	21	24	22.485977123	0.936915713	1	4	24	24	0.834015877	-0.690656996	480	478	0.995833333	24	18	0.750000000	478	302	0.631799163	478	2.283174849	0.302164385	4463	3290	0.737172306
case_003	21	24	9.602977180	0.400124049	1	3	24	24	0.382794720	-0.373769583	480	480	1.000000000	24	21	0.875000000	480	338	0.704166667	480	2.167879063	1.030327298	4501	3565	0.792046212
case_004	18	24	10.687467157	0.445311132	1	3	24	24	0.402650651	-0.401871524	480	478	0.995833333	24	19	0.791666667	478	360	0.753138075	478	1.727331042	0.735978190	4448	3596	0.808453237
case_005	16	24	25.732349321	1.072181222	1	8	24	24	1.001883043	-0.968784824	480	480	1.000000000	24	19	0.791666667	480	312	0.650000000	480	2.606292011	1.232557083	4491	3513	0.782231129
case_006	20	24	1.392164368	0.058006849	1	24	24	24	0.049649685	-0.035526631	480	479	0.997916667	24	24	1.000000000	479	355	0.741127349	479	2.143678821	1.634950209	4477	3501	0.781996873
case_007	17	24	11.365696086	0.473570670	1	7	24	24	0.377602344	-0.329854874	480	480	1.000000000	24	20	0.833333333	480	318	0.662500000	480	1.893289697	0.475166850	4480	3508	0.783035714
case_008	22	24	7.007789184	0.291991216	1	3	24	24	0.275031566	-0.241490571	480	478	0.995833333	24	22	0.916666667	478	349	0.730125523	478	1.677731618	0.266353890	4466	3544	0.793551276
case_009	17	24	12.003473412	0.500144726	1	3	24	24	0.308814635	-0.250471648	480	480	1.000000000	24	21	0.875000000	480	319	0.664583333	480	2.170585884	1.540156386	4484	3503	0.781222123
case_010	28	24	6.175467014	0.257311126	1	10	24	24	0.283297682	-0.197241596	480	479	0.997916667	24	22	0.916666667	479	335	0.699373695	479	2.084205007	1.392525602	4497	3583	0.796753391
case_011	22	24	10.323702472	0.430154270	1	6	24	24	0.344223490	-0.339725206	480	479	0.997916667	24	21	0.875000000	479	311	0.649269311	479	2.262307422	1.368301493	4473	3441	0.769282361
case_012	23	24	7.681932063	0.320080503	1	13	24	24	0.302386193	-0.266493688	480	480	1.000000000	24	22	0.916666667	480	345	0.718750000	480	2.173372615	1.705644271	4491	3397	0.756401692
case_013	24	24	12.667596067	0.527816503	0	0	24	24	0.422162281	-0.422095575	480	477	0.993750000	24	17	0.708333333	477	290	0.607966457	477	2.595633825	1.805569551	4432	3314	0.747743682
case_014	24	24	15.672910338	0.653037931	1	6	24	24	0.577699513	-0.547732374	480	479	0.997916667	24	19	0.791666667	479	307	0.640918580	479	2.545296291	1.168042226	4481	3273	0.730417318
case_015	23	24	18.075908756	0.753162865	1	2	24	24	0.744649268	-0.703943013	480	480	1.000000000	24	21	0.875000000	480	322	0.670833333	480	2.603981723	0.957614859	4486	3439	0.766607222
case_016	21	24	7.868674918	0.327861455	1	10	24	24	0.244396847	-0.228502010	480	480	1.000000000	24	22	0.916666667	480	349	0.727083333	480	2.094703837	1.393962004	4497	3439	0.764732044
case_017	29	24	10.405721403	0.433571725	1	8	24	24	0.388764222	-0.385088079	480	477	0.993750000	24	21	0.875000000	477	321	0.672955975	477	2.314840571	1.697704331	4437	3352	0.755465405
case_018	27	24	13.114466306	0.546436096	0	0	24	24	0.502229648	-0.476031100	480	479	0.997916667	24	19	0.791666667	479	325	0.678496868	479	2.336008839	0.929165726	4474	3396	0.759052302
case_019	20	26	22.879058356	0.879963783	0	0	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_020	20	24	10.605005043	0.441875210	0	0	24	24	0.341957298	-0.316050018	480	479	0.997916667	24	19	0.791666667	479	363	0.757828810	479	1.903383966	1.295128772	4468	3561	0.797000895
case_021	20	24	7.787996661	0.324499861	1	5	24	24	0.296257007	-0.244132494	480	480	1.000000000	24	22	0.916666667	480	330	0.687500000	480	2.670248129	2.043254335	4486	3543	0.789790459
case_022	18	24	17.472563633	0.728023485	1	6	24	24	0.689008181	-0.618014083	480	479	0.997916667	24	19	0.791666667	479	342	0.713987474	479	2.813583232	1.862863678	4489	3586	0.798841613
case_023	16	24	6.719716953	0.279988206	1	10	24	24	0.292265936	-0.260031608	480	475	0.989583333	24	22	0.916666667	475	320	0.673684211	475	2.797166063	2.181023252	4401	3446	0.783003863
case_024	17	24	11.808292306	0.492012179	1	12	24	24	0.367280118	-0.314092516	480	479	0.997916667	24	21	0.875000000	479	347	0.724425887	479	1.980660550	0.416127049	4459	3409	0.764521193
case_025	22	24	16.554298187	0.689762424	1	13	24	24	0.689991433	-0.646349339	480	478	0.995833333	24	21	0.875000000	478	327	0.684100418	478	2.926713929	1.670293432	4451	3480	0.781846776
case_026	18	24	9.281256390	0.386719016	1	15	24	24	0.327017369	-0.272093802	480	478	0.995833333	24	20	0.833333333	478	350	0.732217573	478	2.076749971	1.592314800	4470	3521	0.787695749
case_027	17	24	4.998499752	0.208270823	1	1	24	24	0.202164928	-0.128318263	480	477	0.993750000	24	21	0.875000000	477	313	0.656184486	477	2.824630389	1.343485902	4434	3468	0.782138024
case_028	19	24	11.715866141	0.488161089	0	0	24	24	0.455933715	-0.363656318	480	479	0.997916667	24	19	0.791666667	479	318	0.663883090	479	1.968985992	1.135116273	4475	3545	0.792178771
case_029	20	24	11.518490660	0.479937111	1	12	24	24	0.293704501	-0.228421485	480	480	1.000000000	24	20	0.833333333	480	321	0.668750000	480	1.939265302	-0.442733917	4495	3385	0.753058954
case_030	24	24	7.747040427	0.322793351	1	1	24	24	0.304683365	-0.304234099	480	480	1.000000000	24	21	0.875000000	480	317	0.660416667	480	2.574578547	1.624743097	4497	3448	0.766733378
case_031	24	24	4.290363754	0.178765156	1	3	24	24	0.126899606	-0.110750566	480	479	0.997916667	24	22	0.916666667	479	306	0.638830898	479	2.022703990	1.118386755	4479	3508	0.783210538
case_032	19	24	3.873876881	0.161411537	1	10	24	24	0.163509939	-0.140206443	480	479	0.997916667	24	23	0.958333333	479	356	0.743215031	479	2.139088459	1.783784513	4491	3613	0.804497885
case_033	17	24	6.355000621	0.264791693	1	1	24	24	0.217435678	-0.167926276	480	477	0.993750000	24	22	0.916666667	477	330	0.691823899	477	2.594206562	1.985403517	4442	3476	0.782530392
case_034	24	24	17.671470334	0.736311264	1	6	24	24	0.702793175	-0.655718431	480	479	0.997916667	24	18	0.750000000	479	310	0.647181628	479	2.316335690	0.962102953	4467	3432	0.768300873
case_035	25	26	16.218401152	0.623784660	1	6	24	0	0.000000000	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0	0.000000000	0	0.000000000	0.000000000	0	0	0.000000000
case_036	22	24	9.419137585	0.392464066	1	5	24	24	0.375996566	-0.375993133	480	480	1.000000000	24	22	0.916666667	480	321	0.668750000	480	2.741407983	2.209479466	4493	3470	0.772312486
case_037	21	24	14.736274688	0.614011445	1	2	24	24	0.572412318	-0.567274274	480	479	0.997916667	24	21	0.875000000	479	314	0.655532359	479	2.222247984	0.833531847	4468	3605	0.806848702
case_038	27	24	14.626276458	0.609428186	1	4	24	24	0.566601929	-0.516964329	480	479	0.997916667	24	19	0.791666667	479	297	0.620041754	479	2.136666899	0.589612746	4476	3264	0.729222520
case_039	24	24	11.259011349	0.469125473	1	10	24	24	0.423419781	-0.365271777	480	480	1.000000000	24	21	0.875000000	480	304	0.633333333	480	1.984805129	0.570815049	4505	3321	0.737180910
case_040	23	24	18.847464131	0.785311005	0	0	24	24	0.673065152	-0.652166932	480	479	0.997916667	24	19	0.791666667	479	325	0.678496868	479	1.873464432	0.843218852	4477	3504	0.782666964
case_041	17	24	8.595592521	0.358149688	0	0	24	24	0.271111545	-0.234232551	480	480	1.000000000	24	19	0.791666667	480	317	0.660416667	480	2.324752241	1.234453663	4480	3413	0.761830357
case_042	16	24	20.871813821	0.869658909	1	2	24	24	0.802157880	-0.755585877	480	480	1.000000000	24	18	0.750000000	480	284	0.591666667	480	2.617171824	0.619145282	4498	3347	0.744108493
case_043	20	24	2.612628168	0.108859507	0	0	24	24	0.108415889	-0.005564850	480	480	1.000000000	24	22	0.916666667	480	325	0.677083333	480	2.117374750	-0.212562784	4469	3366	0.753188633
case_044	21	24	6.717789559	0.279907898	0	0	24	24	0.201220771	-0.151574276	480	480	1.000000000	24	21	0.875000000	480	350	0.729166667	480	1.491822183	-0.078023371	4499	3532	0.785063347
case_045	21	24	12.536705037	0.522362710	1	1	24	24	0.418170837	-0.364805900	480	479	0.997916667	24	21	0.875000000	479	324	0.676409186	479	2.167492689	0.947854092	4473	3449	0.771070870
case_046	21	24	5.693574493	0.237232271	1	14	24	24	0.224747774	-0.192893897	480	479	0.997916667	24	21	0.875000000	479	332	0.693110647	479	2.484894685	1.382150787	4480	3474	0.775446429
case_047	18	24	14.611033712	0.608793071	1	4	24	24	0.504924267	-0.429833107	480	477	0.993750000	24	20	0.833333333	477	305	0.639412998	477	2.339317884	1.425688317	4419	3374	0.763521159
case_048	20	24	5.473751600	0.228072983	1	15	24	24	0.196547122	-0.167407678	480	478	0.995833333	24	22	0.916666667	478	342	0.715481172	478	2.285030611	1.207021885	4474	3529	0.788779616
case_049	21	24	4.251708715	0.177154530	1	18	24	24	0.177078923	-0.149366829	480	480	1.000000000	24	23	0.958333333	480	337	0.702083333	480	2.063756868	1.379963953	4498	3527	0.784126278
case_050	30	24	9.201452361	0.383393848	0	0	24	24	0.359276393	-0.276562345	480	479	0.997916667	24	21	0.875000000	479	302	0.630480167	479	2.000862096	1.231126573	4480	3416	0.762500000
case_051	23	24	11.144140804	0.464339200	1	13	24	24	0.465758694	-0.399518785	480	480	1.000000000	24	22	0.916666667	480	306	0.637500000	480	2.075829234	0.676070050	4496	3423	0.761343416
case_052	21	24	9.991280439	0.416303352	1	10	24	24	0.348567439	-0.262546628	480	477	0.993750000	24	22	0.916666667	477	313	0.656184486	477	2.289286659	0.855323249	4447	3392	0.762761412
case_053	24	24	12.953605113	0.539733546	1	2	24	24	0.423705417	-0.372476518	480	478	0.995833333	24	19	0.791666667	478	321	0.671548117	478	1.952475190	1.213803417	4464	3450	0.772849462
case_054	24	24	13.706945083	0.571122712	1	4	24	24	0.538293567	-0.524468596	480	478	0.995833333	24	18	0.750000000	478	324	0.677824268	478	2.093334888	1.187974210	4447	3387	0.761637059
case_055	28	24	16.695887695	0.695661987	0	0	24	24	0.670883880	-0.658579083	480	478	0.995833333	24	19	0.791666667	478	318	0.665271967	478	2.904666898	2.413458118	4465	3345	0.749160134
case_056	20	24	8.135003051	0.338958460	1	17	24	24	0.278956506	-0.267308303	480	479	0.997916667	24	22	0.916666667	479	323	0.674321503	479	2.495307889	1.618780708	4461	3386	0.759022641
case_057	24	24	9.974862893	0.415619287	0	0	24	24	0.362192284	-0.362118945	480	480	1.000000000	24	20	0.833333333	480	320	0.666666667	480	2.177576045	1.267374543	4495	3315	0.737486096
case_058	26	24	5.010045554	0.208751898	1	15	24	24	0.191099593	-0.186743188	480	476	0.991666667	24	22	0.916666667	476	345	0.724789916	476	2.324537072	1.589546532	4421	3520	0.796199955
case_059	25	24	23.855042421	0.993960101	1	10	24	24	0.964940387	-0.943843252	480	480	1.000000000	24	21	0.875000000	480	323	0.672916667	480	2.711858627	1.094263915	4510	3429	0.760310421
case_060	19	24	5.378455317	0.224102305	1	3	24	24	0.194762479	-0.135257836	480	480	1.000000000	24	22	0.916666667	480	348	0.725000000	480	2.785479584	2.567527208	4494	3585	0.797730307
case_061	19	24	8.204526300	0.341855262	1	11	24	24	0.374364908	-0.294612320	480	480	1.000000000	24	23	0.958333333	480	350	0.729166667	480	2.628788311	1.618109637	4502	3556	0.789871168
case_062	16	24	11.832745138	0.493031047	0	0	24	24	0.474813031	-0.472424435	480	478	0.995833333	24	22	0.916666667	478	347	0.725941423	478	2.527601154	1.439561337	4457	3530	0.792012565
case_063	17	24	16.330592244	0.680441343	1	3	24	24	0.636655703	-0.626038306	480	480	1.000000000	24	21	0.875000000	480	338	0.704166667	480	2.701131308	2.173407340	4509	3604	0.799290308
case_064	15	24	25.832320749	1.076346698	0	0	24	24	1.050253036	-0.983042700	480	480	1.000000000	24	17	0.708333333	480	332	0.691666667	480	2.716352361	1.051594900	4493	3428	0.762964612
case_065	16	24	2.912026607	0.121334442	1	10	24	24	0.120584806	-0.082217352	480	479	0.997916667	24	22	0.916666667	479	347	0.724425887	479	2.157822033	1.328773304	4473	3527	0.788508831
case_066	18	24	12.904391422	0.537682976	1	4	24	24	0.457993544	-0.412216074	480	480	1.000000000	24	20	0.833333333	480	317	0.660416667	480	2.571926724	1.713190817	4495	3489	0.776195773
case_067	18	24	6.610944850	0.275456035	1	4	24	24	0.233413770	-0.161960204	480	480	1.000000000	24	20	0.833333333	480	334	0.695833333	480	2.341360897	1.504878738	4492	3471	0.772707035
case_068	21	24	8.839875247	0.368328135	1	15	24	24	0.352902507	-0.308624788	480	478	0.995833333	24	22	0.916666667	478	344	0.719665272	478	1.838021177	-0.013534877	4451	3441	0.773084700
case_069	21	24	23.272364306	0.969681846	1	3	24	24	0.921671860	-0.891256582	480	478	0.995833333	24	18	0.750000000	478	332	0.694560669	478	2.632711322	2.113849468	4458	3480	0.780619112
case_070	27	24	10.573393258	0.440558052	1	5	24	24	0.414560201	-0.369194133	480	480	1.000000000	24	21	0.875000000	480	331	0.689583333	480	1.913102330	0.838503012	4494	3557	0.791499777
case_071	26	24	7.446334463	0.310263936	0	0	24	24	0.311956924	-0.223376722	480	479	0.997916667	24	21	0.875000000	479	308	0.643006263	479	2.340289289	0.863868376	4480	3537	0.789508929
case_072	19	24	10.435974390	0.434832266	1	8	24	24	0.377792456	-0.377396068	480	480	1.000000000	24	21	0.875000000	480	327	0.681250000	480	2.060545088	0.330488679	4482	3584	0.799643017
case_073	17	24	0.429684869	0.017903536	1	24	24	24	0.048749159	0.039558475	480	479	0.997916667	24	24	1.000000000	479	327	0.682672234	479	2.118302610	1.441736713	4470	3512	0.785682327
case_074	17	24	6.906723522	0.287780147	1	1	24	24	0.263508854	-0.218585822	480	479	0.997916667	24	22	0.916666667	479	337	0.703549061	479	2.344444618	1.413678872	4467	3464	0.775464518
case_075	16	24	6.300494549	0.262520606	1	8	24	24	0.258958924	-0.203511981	480	478	0.995833333	24	21	0.875000000	478	332	0.694560669	478	2.231384068	1.759963035	4457	3467	0.777877496
case_076	23	24	10.505351524	0.437722980	1	12	24	24	0.359710436	-0.359710436	480	478	0.995833333	24	20	0.833333333	478	325	0.679916318	478	2.274925341	1.517505726	4475	3423	0.764916201
case_077	26	24	8.933271942	0.372219664	1	7	24	24	0.334008583	-0.290604855	480	480	1.000000000	24	21	0.875000000	480	341	0.710416667	480	2.389067748	1.307173843	4489	3420	0.761862330
case_078	29	24	12.321905960	0.513412748	1	7	24	24	0.464132348	-0.412540240	480	479	0.997916667	24	20	0.833333333	479	294	0.613778706	479	2.938514981	1.617722774	4479	3279	0.732083054
case_079	21	24	11.917812947	0.496575539	1	11	24	24	0.447744411	-0.436063237	480	478	0.995833333	24	20	0.833333333	478	318	0.665271967	478	2.062288722	1.401529069	4458	3541	0.794302378
case_080	15	24	10.044934046	0.418538919	1	6	24	24	0.247830575	-0.238749574	480	480	1.000000000	24	19	0.791666667	480	342	0.712500000	480	1.883765550	0.960741704	4493	3550	0.790117961
case_081	15	24	20.949981857	0.872915911	1	7	24	24	0.664565873	-0.648823415	480	480	1.000000000	24	17	0.708333333	480	344	0.716666667	480	1.942245935	0.814586491	4495	3495	0.777530590
case_082	18	24	14.660677133	0.610861547	0	0	24	24	0.527248059	-0.499893141	480	479	0.997916667	24	20	0.833333333	479	322	0.672233820	479	1.948965307	1.006971864	4491	3438	0.765531062
case_083	21	24	8.102049834	0.337585410	1	8	24	24	0.241316928	-0.240085771	480	480	1.000000000	24	19	0.791666667	480	339	0.706250000	480	2.092037127	1.636364267	4470	3638	0.813870246
case_084	25	11	8.153922117	0.741265647	0	0	11	11	0.674855625	-0.661586590	220	220	1.000000000	11	10	0.909090909	220	143	0.650000000	220	3.502017407	3.115146250	2051	1683	0.820575329
